clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T23:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T22:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T21:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T20:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T19:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T18:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T17:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T16:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T15:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T14:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T13:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T12:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T11:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T10:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T09:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T08:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:42:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:37:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:32:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:27:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:22:36.000Z,0.2,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:17:36.000Z,1,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:12:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:07:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T07:02:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T06:57:36.000Z,3,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T06:52:36.000Z,5,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T06:47:36.000Z,0.8,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T06:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T05:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T04:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T03:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T02:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T01:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-19T00:22:36.000Z,0,0,1,0.9
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T23:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T22:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T21:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T20:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T19:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T18:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T17:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T16:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T15:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T14:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T13:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T12:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T11:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T10:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T09:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T08:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T07:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T06:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T05:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T04:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T03:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T02:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T01:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-18T00:22:36.000Z,0,0,1,0.1
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-17T23:22:36.000Z,0,0,2,2.5
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-17T22:22:36.000Z,0,0,2,2.5
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-17T21:22:36.000Z,0,0,2,2.5
9F62D472-0757-4E1A-AAA2-5874FF8F1EEA,2018-09-17T20:22:36.000Z,0,0,2,2.5
