clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T15:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T14:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T13:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T12:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T11:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T10:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T09:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T08:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T07:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T06:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T05:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T04:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T03:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T02:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T01:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-18T00:55:06.000Z,0,0,1,0.1
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T23:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T22:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T21:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T20:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T19:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T18:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T17:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T16:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T15:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T14:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T13:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T12:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T11:55:06.000Z,0,0,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T11:15:06.000Z,0,10,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T11:10:06.000Z,0,20,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T11:05:06.000Z,0,20,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T11:00:06.000Z,0,20,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:55:06.000Z,0,30,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:50:06.000Z,0,30,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:45:06.000Z,0,30,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:40:06.000Z,0,30,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:35:06.000Z,0,40,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:30:06.000Z,0,40,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:25:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:20:06.000Z,0,40,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:15:06.000Z,0,40,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:10:06.000Z,0,40,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:05:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T10:00:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:55:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:50:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:45:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:40:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:35:06.000Z,0,60,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:30:06.000Z,0,60,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:25:06.000Z,0,60,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:20:06.000Z,0,50,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:15:06.000Z,0,60,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:10:06.000Z,0,80,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:05:06.000Z,0,70,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T09:00:06.000Z,0,60,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:55:06.000Z,0,80,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:50:06.000Z,0,80,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:45:06.000Z,0,80,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:40:06.000Z,0,90,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:35:06.000Z,0,90,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:30:06.000Z,0,100,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:25:06.000Z,0.2,100,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:20:06.000Z,0,90,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:15:06.000Z,0,110,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:10:06.000Z,0,150,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:05:06.000Z,0,110,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T08:00:06.000Z,0,140,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T07:55:06.000Z,0,130,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T07:50:06.000Z,0,160,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T07:45:06.000Z,0,130,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T07:40:06.000Z,0,130,2,2.5
23ED0082-F523-491B-8AFA-DDEBFE722C40,2018-09-17T07:35:06.000Z,0,160,2,2.5
