clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T23:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T22:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T21:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T20:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T19:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T18:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T17:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T16:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T15:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T14:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T13:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T12:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T11:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T10:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T09:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T08:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T07:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T07:07:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T07:02:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:57:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:52:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:47:00.000Z,2.6,10,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:42:00.000Z,6,10,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:37:00.000Z,3.2,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T06:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T05:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T04:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T03:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T02:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T01:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-19T00:27:00.000Z,0,0,1,0.9
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T23:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T22:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T21:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T20:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T19:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T18:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T17:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T16:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T15:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T14:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T13:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T12:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T11:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T10:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T09:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T08:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T07:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T06:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T05:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T04:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T03:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T02:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T01:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-18T00:27:00.000Z,0,0,1,0.1
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T23:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T22:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T21:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T20:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T19:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T18:27:00.000Z,0,0,2,2.5
8C8A35C5-8589-497F-8394-9532D445F7DF,2018-09-17T17:27:00.000Z,0,0,2,2.5
