clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T23:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T22:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T21:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T20:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T19:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T18:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T17:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T16:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T15:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T14:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T13:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T12:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T11:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T10:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T09:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T08:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:37:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:32:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:22:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:17:49.000Z,0.4,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:12:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:07:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T07:02:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T06:57:49.000Z,1.4,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T06:52:49.000Z,6,10,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T06:47:49.000Z,2,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T06:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T05:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T04:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T03:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T02:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T01:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-19T00:27:49.000Z,0,0,1,0.9
BBF95EEE-9279-4D02-A5A8-79E52557FA55,2018-09-18T23:27:49.000Z,0,0,1,0.1
