clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T23:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T22:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T21:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T20:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T19:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T18:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T17:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T16:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T15:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T14:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T13:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T12:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T11:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T10:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T09:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T08:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T07:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T07:08:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T07:03:48.000Z,0,20,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T06:58:48.000Z,0,40,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T06:53:48.000Z,0,70,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T06:48:48.000Z,5.8,50,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T06:43:48.000Z,8.6,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T06:38:48.000Z,3,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T05:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T04:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T03:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T02:43:48.000Z,0,0,1,0.9
FDAB1CC5-EEE5-409E-BDAD-876EF01D083B,2018-09-19T01:43:48.000Z,0,0,1,0.9
