clctCode,clctTime,Rainfall(mm),Waterdepth(meters),Weather,Wind Speed
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T23:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T22:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T21:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T20:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T19:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T18:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T17:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T16:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T15:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T14:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T13:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T12:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T11:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T10:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T09:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T08:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:43:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:38:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:33:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:23:20.000Z,0.4,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:18:20.000Z,0.2,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:13:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:08:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T07:03:20.000Z,0.2,10,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:58:20.000Z,3.4,10,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:53:20.000Z,4.8,10,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:48:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:43:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:38:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:33:20.000Z,0.2,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T06:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T05:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T04:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T03:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T02:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T01:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-19T00:28:20.000Z,0,0,1,0.9
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T23:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T22:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T21:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T20:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T19:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T18:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T17:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T16:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T15:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T14:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T13:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T12:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T11:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T10:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T09:28:20.000Z,0,0,1,0.1
6C57BE8F-2727-40AA-B443-783F0B314C8F,2018-09-18T08:28:20.000Z,0,0,1,0.1
